296,KEMEN CLAVO/PINCEL/SOGA   ,Nacional,2,KMN,.35
297,ATLAS PINCELES Y BROCHAS  ,INDEFINIDO,99,000,.00
299,ALAMBRE TEJIDO/TORNIQ.FIXO,Nacional,2,ACN,.35
3,BULON REDONDA BLANCO FIXO ,Importado,1,BCR,.50
300,ALAMBRE ACINDAR           ,Nacional,2,ACN,.35
301,CABLE ACERO KEMEN         ,Nacional,2,CDA,.35
302,CABLE ACERO ESLINGA KEMEN ,Nacional,2,CDA,.35
303,SUJECION CARGA MUSITANI   ,Nacional,2,MST,.35
304,SUJECION CARGA KEMEN      ,Nacional,2,KMN,.35
305,CADENAS KEMEN             ,Importado,2,CDN,.35
306,DELTA PLUS                ,Nacional,2,000,.35
309,CONARCO LINEA LLAMA       ,Nacional,2,ELC,.00
31,TUERCA AUTOMOTOR FIXO     ,Importado,1,NUT,.50
310,ELECTRODOS                ,Nacional,2,ELC,.35
311,SOLDADORAS ESAB           ,Nacional,4,ELC,.35
312,ELECTRODOS OK             ,Nacional,2,ELC,.35
313,CONARCO EPP               ,Nacional,2,ELC,.00
314,REPUESTOS SOLDADORAS ESAB ,Nacional,2,ELC,.35
315,EXTRACUT                  ,Nacional,2,MUR,.35
317,MACHO RECTIFICADO UNITARI ,Nacional,2,MUR,.35
318,MACHO RECTIFICADO JUEGO   ,Nacional,2,MUR,.35
319,MACHO A/RAPIDO UNITARIO   ,Nacional,2,MUR,.35
32,TUERCA MARIPOSA HIERRO    ,Nacional,1,NUT,.50
320,MACHO A/RAPIDO JUEGO      ,Nacional,2,MUR,.35
321,COJINETES PULGADA         ,Nacional,2,MUR,.35
322,COJINETES MILIMETRICOS    ,Nacional,2,MUR,.35
323,COJINETE BSP              ,Nacional,2,MUR,.35
324,MACHOS ESPECIALES         ,Nacional,2,000,.35
330,DELBRE                    ,Nacional,4,DLB,.35
331,DELBRE REPUESTOS          ,Nacional,4,DLB,.35
340,VULCANO                   ,Nacional,2,VLC,.35
35,TUERCA TORNEADA USS   FIXO,Nacional,1,NUT,.50
355,CORTARAPID                ,Nacional,4,000,.35
36,TUERCA TORNEADA SAE   FIXO,Nacional,1,NUT,.50
361,IRAZOLA                   ,INDEFINIDO,99,000,.00
365,CABLE ACERO ACCESORI.KEMEN,Importado,2,KMN,.35
37,TUERCA TORNEADA ALTA SAE  ,Nacional,1,NUT,.50
370,CEPILLO ACERO KEMEN       ,Importado,2,KMN,.35
375,ZUBIONDO                  ,INDEFINIDO,99,000,.00
378,ALLEN CABEZA BOTON FIXO   ,Nacional,1,ATL,.35
379,GEDORE ARTICULOS ESPECIALE,Importado,3,GDR,.35
38,TUERCA CASTILLO BAJA SAE  ,Nacional,1,NUT,.50
380,GEDORE                    ,Importado,3,GDR,.35
381,LLAVE EN T KEMEN          ,Nacional,3,IYP,.35
382,IREGA                     ,INDEFINIDO,99,000,.00
39,TUERCA CASTILLO ALTA SAE  ,Nacional,1,NUT,.50
390,DELFABRO                  ,Nacional,3,000,.35
395,BOVENAU                   ,Importado,2,BVN,.35
397,MATABI                    ,Importado,2,MTB,.35
4,TIRAFONDO HEXAGONAL FIXO  ,Importado,1,TRF,.50
40,TUERCA CASTILLO USS FIXO  ,Nacional,1,NUT,.50
401,BULON ZINCADO USS-WHIT FIX,Importado,1,BG2,.50
402,BULON ZINCADO SAE         ,INDEFINIDO,99,000,.00
403,BULON REDONDA DORADO FIXO ,Importado,1,BCR,.50
414,VARILLA ROSCADA.ZIN.FIXO  ,Nacional,1,VR,.50
417,TUERCA PESADA ZINC.FIXO   ,Importado,1,NUT,.50
418,TUERCA ZINC. BLANCA FIXO  ,Importado,1,NUT,.50
419,TUERCA ZINC.BLANCA SAE FIX,Importado,1,NUT,.50
43,ARANDELA PLANA FIXO       ,Nacional,1,ARA,.50
44,ARANDELA GROWER PULG. FIXO,Importado,1,ARA,.50
443,ARANDELA PLANA ZINC.FIXO  ,Nacional,1,ARA,.50
444,ARANDELA GROWER ZINC. FIXO,Importado,1,ARA,.50
445,ARANDELA GROWER ZINC. FIXO,Importado,1,ARA,.50
446,ARANDELA CHAPISTA ZIN.FIXO,Nacional,1,ARA,.50
447,ARANDELA POCO VUE.ZIN.FIXO,Nacional,1,ARA,.50
45,ARANDELA GROWER METR. FIXO,Importado,1,ARA,.50
46,ARANDELA CHAPISTA FIXO    ,Nacional,1,ARA,.50
47,ARANDELA POCO VUELO FIXO  ,Nacional,1,ARA,.50
48,ARANDELA CUBETA FIXO      ,Nacional,1,ARA,.50
49,ARANDELA BISELADA PUL.FIXO,Nacional,1,ARA,.50
5,BULON ARADO COMUN FIXO    ,Nacional,1,BAG,.50
50,ARANDELA BISELADA MET.FIXO,Nacional,1,ARA,.50
51,ARANDELA COBRE FIXO       ,Nacional,1,ARA,.50
52,ARANDELA ALUMINIO FIXO    ,Nacional,1,ARA,.50
53,ARANDELA FIBRA FIXO       ,Nacional,1,ARA,.50
54,ARANDELA SUPL.V.ANGOS.FIXO,Nacional,1,ARA,.50
55,ARANDELA SUPL.V.ANCHO FIXO,Nacional,1,ARA,.50
56,ARANDELA ESPECIAL FIXO    ,Nacional,1,ARA,.50
57,ARANDELA ESTRELLA FIXO    ,Nacional,1,ARA,.50
6,BULON JOHN DEERE FIXO     ,Nacional,1,BAG,.50
60,TORNILLO TANQUE FIXO      ,Nacional,1,BLT,.50
601,SALKOR                    ,Importado,4,SLK,.45
602,BELARRA                   ,Importado,4,BLR,.45
603,KEMEN DIAMAN/CAJAS/CUTTER ,Importado,2,KMN,.45
604,ENERGY                    ,Importado,4,000,.00
605,REPUESTOS SALKOR-BELARRA  ,Importado,4,000,.45
606,REPUESTOS NEO             ,Importado,4,000,.45
607,REPUESTOS ENERGY          ,Importado,4,000,.00
61,TORNILLO REDONDA FIXO     ,Nacional,1,BLT,.50
610,NEO MAQUINAS              ,Importado,4,NEO,.45
611,NEO HERRAMIENTAS          ,Importado,3,NEO,.45
612,OBRA HERRAMIENTAS         ,Importado,4,000,.45
613,OBRA ACCESORIOS           ,Importado,4,000,.45
614,VITA LIFE - LAMPARAS LED  ,INDEFINIDO,99,000,.45
615,FOREST & GARDEN           ,INDEFINIDO,99,000,.00
62,TORNILLO FRESADO FIXO     ,Nacional,1,BLT,.50
620,MEMBRANA POLYGUARD        ,Nacional,2,000,.35
625,KLOKAN                    ,INDEFINIDO,99,000,.00
63,TORNILLO PARKER FIJ. FIXO ,Nacional,1,BLT,.50
64,pepe                      ,INDEFINIDO,99,000,.00
65,TORNILLO AUTOPERFORAN.FIXO,Importado,1,BLT,.50
650,PROMOCIONES EN COMBO      ,Nacional,3,000,.35
66,BIS FIX - FIXO            ,Importado,1,BLT,.50
660,FLC - LAMPARAS            ,Importado,5,000,.35
666,ARTICULOS DE PROMOCION    ,INDEFINIDO,6,000,.35
67,REMACHES MITTO            ,INDEFINIDO,99,000,.00
68,TORNILLO METRICO FIXO     ,INDEFINIDO,99,000,.00
69,BIS ROSCA GRUESA NEGR.FIXO,Importado,1,BLT,.50
7,BULON CORREA Y AGRICO.FIXO,Nacional,1,BAG,.50
70,ALLEN MILIMET.CON CAB.FIXO,Nacional,1,ATL,.50
701,BULON ACERO INOXID.CISER  ,Importado,1,000,.50
702,BULON INOXIDABLE          ,Importado,1,BCR,.00
703,TUERCA PULIDA METRIC CISER,Importado,1,000,.50
704,TIRAFONDO ACERO INOX.CISER,Importado,1,000,.50
705,BULON REDONDA INOXIDABLE  ,Importado,1,BCR,.00
71,ALLEN PULGADA CON CAB.FIXO,Nacional,1,ATL,.50
710,BULON DE BRONCE           ,Importado,1,000,.50
714,VARILLA ACERO INOXIDABLE  ,Importado,1,000,.50
718,TUERCA ACERO INOXIDABLE   ,Importado,1,000,.50
72,ALLEN SIN CABEZA FIXO     ,Importado,1,ATL,.50
723,TUERCA INOXIDABLE METRICA ,Importado,1,NUT,.00
725,TUERCA AUTOFRENANTE INOXID,Importado,1,NUT,.00
73,PRISIONERO CAB.CUADRA.FIXO,Nacional,1,PRS,.50
74,REMACHE HIERRO REDOND FIXO,Nacional,1,RCH,.50
743,ARANDELA ACERO INOXIDABLE ,Importado,1,000,.50
744,ARANDELA GROWER AC.INOXIDA,Importado,1,000,.50
75,REMACHE HIERRO CHATA  FIXO,Nacional,1,RCH,.50
76,REMACHE RERAR             ,Nacional,2,RCH,.40
761,TORNILLO INOX REDONDA     ,Importado,1,BLT,.00
762,TORNILLO INOX PALETA PLANA,Importado,1,BLT,.00
763,TORNILLO INOX CAB FIJADORA,Importado,1,BLT,.00
77,GANCHO DE TECHO FIXO      ,Nacional,1,GDT,.50
78,ALLEN FRESADO MILIMET.FIXO,Nacional,1,ATL,.50
79,ALLEN FRESADO PULGADA FIXO,Nacional,1,ATL,.50
8,BULON CORREA GRANDE FIXO  ,Nacional,1,BAG,.50
80,CHAVETA PARTIDA FIXO      ,Nacional,1,CHV,.50
801,BULON PULIDO USS-WHIT CISE,Importado,1,BG2,.50
803,BULON REDONDA BLANCO CISER,Importado,1,BCR,.50
804,BULON REDONDA 8.8 S/TUERCA,Importado,1,BCR,.50
81,CHAVETA-ALFILER-TRABA FIXO,Nacional,1,SKT,.50
814,VARILLA ROSCADA PUL.CISER ,Nacional,1,000,.50
817,TUERCA PESADA CISER       ,Importado,1,NUT,.50
818,TUERCA PULIDA USS CISER   ,Importado,1,NUT,.50
819,TUERCA PULIDA SAE CISER   ,Importado,1,NUT,.50
82,CHAVETA RETEN SEGURID.FIXO,Nacional,1,SKT,.50
83,CHAVETA 1/2 LUNA 6888 FIXO,Nacional,1,SKT,.50
84,CHAVETA 1/2 LUNA WOOD.FIXO,Nacional,1,SKT,.50
844,ARANDELA GROWER PULG.CISER,INDEFINIDO,99,000,.00
845,ARANDELA GROWER METR.CISER,INDEFINIDO,99,000,.00
85,ANILLO DIN 471 FIXO       ,Nacional,1,SKT,.50
86,ANILLO DIN 472 FIXO       ,Nacional,1,SKT,.50
87,CHAVETA ESPINA ELAST. FIXO,Nacional,1,SKT,.50
88,CHAVETA CUADRADA/TREF.FIXO,Nacional,1,SKT,.50
9,BULON 10.9 PULGADA FIXO   ,Importado,1,BGR,.50
90,ALEMITES FIXO             ,Nacional,2,ALM,.35
901,BULON ZINCADO USS-WHIT CIS,Importado,1,BG2,.50
903,BULON REDONDA DORADO CISER,Importado,1,BCR,.50
904,TIRAFONDO HEXAGONAL CISER ,Importado,1,TRF,.50
910,BULON G-5 USS CISER       ,Importado,1,BGR,.50
911,BULON G-5 SAE CISER       ,Importado,1,BGR,.50
912,BULON 8.8 MA y MB CISER   ,Importado,1,BGR,.50
914,VARILLA ROSCADA.ZIN.CISER ,Nacional,1,VR,.50
915,BULON ESPECIALES CISER    ,Importado,1,BPM,.50
917,TUERCA PESADA ZINC.CISER  ,Importado,1,NUT,.50
918,TUERCA ZINC. BLANCA CISER ,Importado,1,NUT,.50
919,TUERCA ZINC.BLANCA SAE CIS,Importado,1,NUT,.50
921,TUERCA G-5 USS CISER      ,Importado,1,NUT,.50
922,TUERCA G-5 SAE CISER      ,Importado,1,NUT,.50
923,TUERCA 8.8 MILIMETRI CISER,Importado,1,NUT,.50
924,TUERCA AUTOFR.GRADO2 CISER,INDEFINIDO,99,000,.00
925,BULON REDONDA BCO NANOTEC ,Importado,1,BG2,.00
927,TUERCA AUTOFR.NYLON CISER ,INDEFINIDO,99,000,.00
944,ARANDELA GROWER ZINC.CISER,INDEFINIDO,99,000,.00
945,ARANDELA GROWER ZINC.CISER,INDEFINIDO,99,000,.00
95,TERMINAL DE BATERIA X-9   ,Nacional,2,TX9,.35
960,TORNILLO TANQUE CISER     ,Nacional,1,BLT,.50
961,TORNILLO REDONDA CISER    ,Nacional,1,BLT,.50
962,TORNILLO FRESADO CISER    ,Nacional,1,BLT,.50
963,TORNILLO PARKER FIJ.CISER ,Nacional,1,BLT,.50
964,TORNILLO BRONCE CISER     ,Importado,1,BLT,.50
965,TORNILLO AUTOPERFORA.CISER,Importado,1,BLT,.00
966,BIS FIX - CISER           ,Importado,1,BLT,.50
968,TORNILLO METRICO CISER    ,Nacional,1,BLT,.50
969,BIS ROSCA GRUESA NEG.CISER,Importado,1,BLT,.00
987,INSUMOS                   ,Nacional,1,000,.50
990,MAQUINAS SERVICIO TECNICO ,Nacional,4,000,.50
991,OPERACION ESPECIAL        ,INDEFINIDO,99,000,.00
996,OUTLET                    ,INDEFINIDO,6,000,.00
997,STOCK MAQUINAS SERV.TECNIC,Importado,4,000,.50
998,DESCUENTOS ESPECIALES     ,INDEFINIDO,2,VR,.50
999,ARTICULOS DADOS DE BAJA   ,INDEFINIDO,2,000,.50
