"004000026849",106.SFB4.IP27,1
"004001400012",106.SC.14,1
"004001500019",106.SC.15,1
"004001600016",106.SC.16,1
"004001700013",106.SC.17,1
"004001900017",106.SC.19,1
"004002000013",106.SC.20,1
"004002100010",106.SC.21,1
"004002200017",106.SC.22,1
"004002400011",106.SC.24,1
"004002500018",106.SC.25,1
"004002700012",106.SC.27,1
"004002900016",106.SC.29,1
"004003000012",106.SC.30,1
"004003200016",106.SC.32,1
"004003300013",106.SC.33,1
"004003500017",106.SC.35,1
"004003700011",106.SC.37,1
"004003800018",106.SC.38,1
"004004000011",106.SC.40,1
"004004000110",106.SC.24,1
"004004100018",106.SC.41,1
"004004300012",106.SC.43,1
"004004400019",106.SC.44,1
"004004500016",106.SC.45,1
"004004600013",106.SC.46,1
"004004800017",106.SC.48,1
"004005000010",106.SC.50,1
"004005100017",106.SC.51,1
"004005200014",106.SC.52,1
"004005400018",106.SC.54,1
"004005700019",106.SC.57,1
"004005900013",106.SC.59,1
"004006000019",106.SC.60,1
"004006400017",106.SC.64,1
"004006500014",106.SC.65,1
"004006700018",106.SC.67,1
"004007000018",106.SC.70,1
"004007300019",106.SC.73,1
"004007500013",106.SC.75,1
"004007600010",106.SC.76,1
"004007900011",106.SC.79,1
"004008300018",106.SC.83,1
"004008600019",106.SC.86,1
"004008900010",106.SC.89,1
"004009200010",106.SC.92,1
"004009500011",106.SC.95,1
"004009800012",106.SC.98,1
"004010000012",106.SC.100,1
"004010200016",106.SC.102,1
"004010500017",106.SC.105,1
"004010800018",106.SC.108,1
"004011100018",106.SC.111,1
"004011400019",106.SC.114,1
"004012100017",106.SC.121,1
"004012700019",106.SC.127,1
"004014000018",106.SC.140,1
"004015200011",106.SC.152,1
"004100000014",106.A1,1
"004110000011",106.A4,1
"004110000110",106.A4,1
"004120000018",106.A10,1
"004140000012",106.A2,1
"004160000108",106.A1.M,1
"004165000103",106.A4.M,1
"0046221400052",106.CA.462214,5
"0046221800050",106.CA.462218,5
"0046222400051",106.CA.462224,5
"0046223200056",106.CA.462232,5
"0046231000051",106.CA.462310,5
"004623600050",106.CA.46236,5
"004623800054",106.CA.46238,5
"0046241800054",106.CA.462418,5
"0046242400055",106.CA.462424,5
"004624600059",106.CA.46246,5
"005000001566",106.SC.1001022,1
"005005700023",106.CG.510353,1
"005020500028",106.CG.250353,2
"005021000022",106.CG.300353,2
"005021500027",106.CG.310353,2
"005022000021",106.CG.320353,2
"005022500026",106.CG.330353,2
"005023000020",106.CG.350353,2
"005024000029",106.CG.400353,1
"005025000028",106.CG.420353,2
"005025500023",106.CG.450353,2
"005026500022",106.CG.500353,2
"005027000026",106.CG.510353,2
"005028000025",106.CG.600353,2
"007.0156-0/at",171.007.0156.0,1
"00733316",310.325,30
"010886657744",380.005.528,1
"010a",265.010,100
"012.0003-8/at",171.012.0003.8,1
"012.0532-0/at",171.012.0532.0,1
"012.1219-0/at",171.012.1219.0,1
"012.1248-0/at",171.012.1248.0,1
"012a",265.012,100
"013856674451",380.029.874,1
"013a",265.013,100
"014a",265.014,100
"015.0395-0/at",171.015.0395.0,1
"015.0410-0",171.015.0410.0,1
"016.0022-2/at",171.016.0022.2,1
"016.0047-0/at",171.016.0047.0,1
"016a",265.016,100
"017892261546652",912.10.80,400
"019.0028-0/at",171.019.0028.0,1
"019.0076-0/at",171.019.0076.0,1
"019a",265.019,100
