102.7811,102.7811,25
102.AF,102.AF,20
102.B.11,102.B.11,20
102.B.12,102.B.12,20
102.C.11,102.C.11,20
102.C.12,102.C.12,20
102.C.14,102.C.14,20
102.C.16,102.C.16,20
102.C.9,102.C.9,300
102.CF,102.CF,1
102.CSM.11,102.CSM.11,12
102.CSM.12,102.CSM.12,12
102.CSM.14,102.CSM.14,12
102.CT.11,102.CT.11,12
102.CT.12,102.CT.12,12
102.H,102.H,12
102.P,102.P,12
106.18,106.18,1
106.24,106.24,1
106.3002512510,106.3002512510,1
106.3002512514,106.3002512514,50
106.32,106.32,50
