001,BULON PULIDO USS-WHIT FIXO,Importado,1,BG2
003,BULON REDONDA BLANCO FIXO ,Importado,1,BCR
004,TIRAFONDO HEXAGONAL FIXO  ,Importado,1,TRF
006,BULON JOHN DEERE FIXO     ,Nacional,1,BAG
007,BULON CORREA Y AGRICO.FIXO,Nacional,1,BAG
008,BULON CORREA GRANDE FIXO  ,Nacional,1,BAG
009,BULON 10.9 PULGADA FIXO   ,Importado,1,BGR
968,TORNILLO METRICO CISER    ,Importado,1,BLT
998,DESCUENTOS ESPECIALES     ,,2,VR
